C1:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
G***:1
H1:1
H2:1
H3:1
H4:1
J1:1
J10:1
J2:1
J3:1
J4:1
J5:1
J6:1
J7:1
MK1:1
R1:1
R2:1
R3:1
R4:1
R5:1
SW1:1
U1:1
U2:1
U3:1
