Designator,Mid X,Mid Y,Rotation,Layer
C1,34.6456,-41.0464,180.0,top
C2,40.6654,-44.2468,270.0,top
C3,49.9,-45.45,270.0,top
C4,51.3,-39.0,0.0,top
C5,51.55,-37.25,180.0,top
C6,51.3,-40.5,180.0,top
C7,49.9,-49.95,90.0,top
C8,37.5666,-54.80695,0.0,top
J10,45.0,-60.98,0.0,top
MK1,32.865,-38.26,270.0,top
R1,38.0238,-37.719,0.0,top
R2,38.0238,-39.219,0.0,top
R3,51.3,-42.0,0.0,top
R4,51.9938,-60.7,0.0,top
R5,51.9938,-62.2,0.0,top
SW1,45.0,-38.9,0.0,top
U1,37.211,-46.88,0.0,top
U2,45.0,-47.7,270.0,top
